Row Labels,Average of international_travel_controls
Afghanistan,1.357664234
Albania,1.179744526
Algeria,2.184306569
Andorra,1.137773723
Angola,2.383211679
Argentina,2.288321168
Aruba,1.355839416
Australia,2.63229927
Austria,1.95620438
Azerbaijan,2.20620438
Bahamas,1.902372263
Bahrain,1.25729927
Bangladesh,1.968065693
Barbados,1.477189781
Belarus,1.993613139
Belgium,2.120437956
Belize,1.427007299
Benin,1.626824818
Bermuda,1.400547445
Bhutan,2.375912409
Bolivia,2.015510949
Bosnia and Herzegovina,0.99270073
Botswana,1.554744526
Brazil,1.483576642
Brunei,2.510948905
Bulgaria,1.981751825
Burkina Faso,2.031934307
Burundi,1.468065693
Cambodia,1.547445255
Cameroon,1.653284672
Canada,2.449817518
Cape Verde,1.466240876
Central African Republic,1.862226277
Chad,1.811131387
Chile,2.21350365
China,2.335144928
Colombia,2.08850365
Congo,1.789233577
Costa Rica,1.187956204
Cote d'Ivoire,1.751824818
Croatia,1.480839416
Cuba,1.573905109
Cyprus,1.614051095
Czechia,1.791970803
Democratic Republic of Congo,1.467153285
Denmark,1.851277372
Djibouti,1.464416058
Dominica,1.48540146
Dominican Republic,1.135948905
Ecuador,1.699817518
Egypt,1.193430657
El Salvador,1.375912409
Eritrea,2.488138686
Estonia,1.171532847
Eswatini,1.608576642
Ethiopia,1.672445255
Faeroe Islands,1.123175182
Fiji,2.600364964
Finland,1.909671533
France,1.741788321
Gabon,1.716240876
Gambia,1.711678832
Georgia,1.789233577
Germany,1.901459854
Ghana,1.628649635
Greece,1.97810219
Greenland,1.683394161
Grenada,1
Guam,2.356751825
Guatemala,1.86040146
Guinea,1.614051095
Guyana,1.821167883
Haiti,1.630474453
Honduras,1.832116788
Hong Kong,2.797445255
Hungary,1.877737226
Iceland,1.656934307
India,2.307481752
Indonesia,2.28649635
Iran,1.947992701
Iraq,2.156021898
Ireland,1.559306569
Israel,2.52189781
Italy,1.955291971
Jamaica,1.671532847
Japan,3.008211679
Jordan,1.977189781
Kazakhstan,2.324817518
Kenya,1.594890511
Kiribati,2.864963504
Kosovo,1.199817518
Kuwait,2.215328467
Kyrgyzstan,1.522810219
Laos,2.185218978
Latvia,1.559306569
Lebanon,1.602189781
Lesotho,1.676094891
Liberia,1.406934307
Libya,2.15419708
Liechtenstein,1.520072993
Lithuania,1.284671533
Luxembourg,1.465328467
Macao,2.711678832
Madagascar,2.263686131
Malawi,1.827554745
Malaysia,2.145072993
Mali,1.447080292
Malta,2.35310219
Mauritania,1.555656934
Mauritius,1.937043796
Mexico,1.277372263
Moldova,1.573905109
Monaco,1.197992701
Mongolia,2.000912409
Morocco,2.265510949
Mozambique,1.584854015
Myanmar,2.570255474
Namibia,1.24270073
Nepal,2.063868613
Netherlands,2.066605839
New Zealand,2.97810219
Nicaragua,0.964416058
Niger,1.776459854
Nigeria,1.694343066
Norway,1.660583942
Oman,1.910583942
Pakistan,1.666970803
Palestine,3.27919708
Panama,1.717153285
Papua New Guinea,1.780109489
Paraguay,1.756386861
Peru,2.259124088
Philippines,2.301094891
Poland,1.590328467
Portugal,2.082116788
Puerto Rico,1.737226277
Qatar,1.975364964
Romania,1.696167883
Russia,2.651459854
Rwanda,1.605839416
San Marino,1.226277372
Saudi Arabia,2.129562044
Senegal,1.947992701
Serbia,0.932481752
Seychelles,1.90419708
Sierra Leone,1.349452555
Singapore,2.052919708
Slovakia,1.312043796
Slovenia,1.274635036
Solomon Islands,2.77919708
Somalia,1.505474453
South Africa,1.464416058
South Korea,1.979927007
South Sudan,1.813868613
Spain,2.010036496
Sri Lanka,1.794708029
Sudan,1.702554745
Suriname,2.390510949
Sweden,1.315693431
Switzerland,1.503649635
Syria,1.291970803
Taiwan,2.797445255
Tajikistan,2.537408759
Tanzania,1.210766423
Thailand,2.062956204
Timor,2.287408759
Togo,1.861313869
Tonga,3.364963504
Trinidad and Tobago,2.260948905
Tunisia,1.878649635
Turkey,1.796532847
Turkmenistan,3.682481752
Uganda,1.565693431
Ukraine,1.645985401
United Arab Emirates,1.919708029
United Kingdom,1.437956204
United States,2.201642336
United States Virgin Islands,0.980839416
Uruguay,2.448905109
Uzbekistan,1.997262774
Vanuatu,2.909671533
Venezuela,2.760948905
Vietnam,2.551094891
Yemen,1.945255474
Zambia,1.416058394
Zimbabwe,1.77189781
Grand Total,1.863666165
